id_aluno,aluno,curso,periodo,nota_final,faltas,horas_estudo_semana,participacao_aula,participou_monitoria,trabalha_atualmente,horas_trabalho_semana,horas_sono_noite
1,Ana Silva,Administração,4º,4.5,8,1.6,2,Sim,Sim,40,9.0
2,Bruno Souza,Administração,3º,7.3,2,5.7,4,Não,Não,0,7.0
3,Carla Oliveira,Administração,4º,5.4,8,1.6,1,Não,Sim,10,6.0
4,Daniel Santos,Administração,3º,7.5,5,6.2,4,Não,Não,0,6.6
5,Elisa Pereira,Economia,4º,6.9,1,3.6,4,Não,Sim,25,7.8
6,Felipe Costa,Administração,4º,6.2,3,5.2,4,Não,Sim,25,7.6
7,Gabriela Rodrigues,Economia,3º,8.5,7,5.5,5,Não,Sim,40,7.4
8,Henrique Almeida,Economia,3º,5.3,1,2.3,3,Não,Não,0,5.6
9,Isabela Nascimento,Administração,4º,7.1,1,5.5,2,Sim,Não,0,7.8
10,João Lima,Administração,4º,6.6,3,4.5,4,Não,Sim,30,7.9
11,Karina Araújo,Economia,3º,6.4,8,5.4,5,Não,Não,0,6.3
12,Lucas Fernandes,Administração,4º,8.8,0,9.8,1,Sim,Sim,20,6.6
13,Mariana Carvalho,Economia,4º,10.0,3,7.4,5,Não,Sim,25,8.2
14,Nicolas Gomes,Administração,3º,8.7,0,8.0,5,Sim,Não,0,8.1
15,Olivia Martins,Economia,4º,6.0,7,5.7,2,Não,Não,0,6.8
16,Pedro Rocha,Economia,3º,5.6,6,2.3,5,Não,Sim,40,7.9
17,Rafaela Ribeiro,Economia,4º,5.9,7,3.1,4,Sim,Não,0,5.4
18,Samuel Alves,Economia,4º,6.9,9,4.8,5,Sim,Não,0,7.0
19,Tatiana Monteiro,Administração,3º,9.3,7,9.7,5,Não,Não,0,8.8
20,Vinicius Mendes,Administração,4º,6.9,4,6.2,2,Não,Não,0,5.0
21,Amanda Barbosa,Administração,4º,5.3,7,4.1,5,Não,Não,0,8.3
22,Bernardo Freitas,Administração,4º,7.2,2,4.3,3,Não,Não,0,5.5
23,Camila Cardoso,Economia,3º,5.4,9,1.3,4,Sim,Não,0,6.4
24,Diego Correia,Administração,3º,5.8,5,5.4,1,Não,Não,0,6.3
25,Eduarda Teixeira,Administração,3º,5.0,11,2.6,5,Não,Sim,25,8.3
26,Fernando Moreira,Administração,3º,4.5,8,2.4,1,Sim,Não,0,6.2
27,Giovana Moura,Administração,4º,7.3,5,6.9,5,Não,Não,0,8.8
28,Hugo Cunha,Administração,3º,5.3,5,2.6,4,Não,Sim,15,6.2
29,Ingrid Dias,Economia,3º,7.5,6,9.2,1,Não,Não,0,7.8
30,Júlia Castro,Administração,4º,6.5,4,5.5,2,Sim,Não,0,8.4
31,Kaique Campos,Administração,4º,5.8,3,5.2,1,Não,Sim,20,8.2
32,Larissa Vieira,Administração,3º,6.6,6,3.9,4,Sim,Não,0,6.0
